org,score
E. coli,0.992147207
E. coli,0.990647733
E. coli,0.993848681
E. coli,0.991229594
E. coli,0.993722916
E. coli,0.984022915
E. coli,0.993027151
E. coli,0.991734087
E. coli,0.992778063
E. coli,0.98611939
E. coli,0.990341902
E. coli,0.992316365
E. coli,0.996634245
E. coli,0.991105974
E. coli,0.988618731
E. coli,0.991179168
E. coli,0.980186522
E. coli,0.991669416
E. coli,0.989130497
E. coli,0.978508413
E. coli,0.990180612
E. coli,0.99653089
E. coli,0.978752971
E. coli,0.994301796
E. coli,0.994062781
P. aeruginosa,0.996412754
P. aeruginosa,0.984788358
P. aeruginosa,0.990770221
P. aeruginosa,0.994578838
P. aeruginosa,0.995024085
P. aeruginosa,0.978784859
P. aeruginosa,0.991669774
P. aeruginosa,0.992953777
P. aeruginosa,0.99318254
P. aeruginosa,0.991673648
P. aeruginosa,0.988858938
P. aeruginosa,0.990983546
P. aeruginosa,0.991254449
P. aeruginosa,0.993101835
P. aeruginosa,0.982689857
P. aeruginosa,0.993685067
P. aeruginosa,0.987704098
P. aeruginosa,0.989670634
P. aeruginosa,0.985936224
P. aeruginosa,0.980705261
P. aeruginosa,0.992153525
P. aeruginosa,0.996665537
P. aeruginosa,0.988116562
P. aeruginosa,0.993035078
P. aeruginosa,0.993211865
Streptomyces sps.,0.996055663
Streptomyces sps.,0.989818394
Streptomyces sps.,0.986866295
Streptomyces sps.,0.993051171
Streptomyces sps.,0.990441203
Streptomyces sps.,0.976704359
Streptomyces sps.,0.990777493
Streptomyces sps.,0.990663469
Streptomyces sps.,0.987353206
Streptomyces sps.,0.973752439
Streptomyces sps.,0.996167302
Streptomyces sps.,0.993459046
Streptomyces sps.,0.981289446
Streptomyces sps.,0.990644574
Streptomyces sps.,0.98076719
Streptomyces sps.,0.988142371
Streptomyces sps.,0.975587726
Streptomyces sps.,0.968179822
Streptomyces sps.,0.983394265
Streptomyces sps.,0.987602174
Streptomyces sps.,0.986844897
Streptomyces sps.,0.98279047
Streptomyces sps.,0.986717761
Streptomyces sps.,0.985560596
Streptomyces sps.,0.992231131
S. cerevisiae,0.992946744
S. cerevisiae,0.994299293
S. cerevisiae,0.994028807
S. cerevisiae,0.98688215
S. cerevisiae,0.995612264
S. cerevisiae,0.998769999
S. cerevisiae,0.991650581
S. cerevisiae,0.991754055
S. cerevisiae,0.992664337
S. cerevisiae,0.992040932
S. cerevisiae,0.998018444
S. cerevisiae,0.993730605
S. cerevisiae,0.997253716
S. cerevisiae,0.990923703
S. cerevisiae,0.991316319
S. cerevisiae,0.993494689
S. cerevisiae,0.980300188
S. cerevisiae,0.990903735
S. cerevisiae,0.989716589
S. cerevisiae,0.992995858
S. cerevisiae,0.990385354
S. cerevisiae,0.998122931
S. cerevisiae,0.991989911
S. cerevisiae,0.995069385
S. cerevisiae,0.994806528
M. musculus,0.996449411
M. musculus,0.995038688
M. musculus,0.993874669
M. musculus,0.999315858
M. musculus,0.999699116
M. musculus,0.999172807
M. musculus,0.992457032
M. musculus,0.99457866
M. musculus,0.985177398
M. musculus,0.996478319
M. musculus,0.999796748
M. musculus,0.997054398
M. musculus,0.999703586
M. musculus,0.998663187
M. musculus,0.991690874
M. musculus,0.993209839
M. musculus,0.998644531
M. musculus,0.992700458
M. musculus,0.992222011
M. musculus,0.993668735
M. musculus,0.996752501
M. musculus,0.99985373
M. musculus,0.994840145
M. musculus,0.99896884
M. musculus,0.99274987
