E. coli,Pseudomonas aeruginosa,Streptomyces sp,Saccharomyces cerevisiae,Mus musculus
0.9921472072601318,0.9964127540588379,0.9960556626319885,0.9929467439651489,0.9964494109153748
0.9906477332115173,0.9847883582115173,0.9898183941841125,0.9942992925643921,0.9950386881828308
0.9938486814498901,0.9907702207565308,0.986866295337677,0.9940288066864014,0.9938746690750122
0.9912295937538147,0.9945788383483887,0.9930511713027954,0.9868821501731873,0.9993158578872681
0.9937229156494141,0.9950240850448608,0.9904412031173706,0.9956122636795044,0.9996991157531738
0.9840229153633118,0.9787848591804504,0.9767043590545654,0.998769998550415,0.9991728067398071
0.9930271506309509,0.991669774055481,0.9907774925231934,0.9916505813598633,0.9924570322036743
0.9917340874671936,0.9929537773132324,0.990663468837738,0.9917540550231934,0.9945786595344543
0.9927780628204346,0.9931825399398804,0.9873532056808472,0.9926643371582031,0.9851773977279663
0.9861193895339966,0.9916736483573914,0.9737524390220642,0.9920409321784973,0.9964783191680908
0.9903419017791748,0.9888589382171631,0.9961673021316528,0.9980184435844421,0.9997967481613159
0.9923163652420044,0.9909835457801819,0.9934590458869934,0.9937306046485901,0.997054398059845
0.9966342449188232,0.991254448890686,0.9812894463539124,0.9972537159919739,0.999703586101532
0.9911059737205505,0.9931018352508545,0.9906445741653442,0.9909237027168274,0.9986631870269775
0.9886187314987183,0.9826898574829102,0.9807671904563904,0.9913163185119629,0.9916908740997314
0.9911791682243347,0.9936850666999817,0.9881423711776733,0.9934946894645691,0.9932098388671875
0.9801865220069885,0.9877040982246399,0.9755877256393433,0.9803001880645752,0.9986445307731628
0.9916694164276123,0.9896706342697144,0.9681798219680786,0.9909037351608276,0.992700457572937
0.9891304969787598,0.9859362244606018,0.9833942651748657,0.9897165894508362,0.992222011089325
0.9785084128379822,0.9807052612304688,0.987602174282074,0.9929958581924438,0.9936687350273132
0.9901806116104126,0.992153525352478,0.9868448972702026,0.9903853535652161,0.9967525005340576
0.9965308904647827,0.9966655373573303,0.982790470123291,0.9981229305267334,0.9998537302017212
0.9787529706954956,0.9881165623664856,0.9867177605628967,0.9919899106025696,0.994840145111084
0.9943017959594727,0.993035078048706,0.9855605959892273,0.9950693845748901,0.9989688396453857
0.9940627813339233,0.9932118654251099,0.9922311305999756,0.9948065280914307,0.9927498698234558
